X,Y,Z,G_x,G_y,G_z,formation,polarity,group
452322.1,6782459.5,-5575.0566,-0.13459288,0.07297747,0.98821,BCU,1,BCU
451789.38,6782354.5,-5610.9487,-0.020766338,0.046108864,0.9987205,BCU,1,BCU
451490.28,6782598.0,-5608.139,0.027991708,0.0009033702,0.99960774,BCU,1,BCU
453910.75,6782029.5,-5338.66,-0.0917763,-0.059763208,0.99398464,BCU,1,BCU
452792.5,6782360.5,-5487.791,-0.16646,0.06488548,0.98391104,BCU,1,BCU
454749.56,6782029.5,-5289.002,-0.028878257,-0.10000242,0.99456805,BCU,1,BCU
455105.22,6782029.5,-5283.1973,-0.025607336,-0.109197095,0.9936902,BCU,1,BCU
455494.25,6782029.5,-5270.877,-0.051370896,-0.12642808,0.9906447,BCU,1,BCU
453414.03,6782385.0,-5386.407,-0.15092982,0.022354323,0.9882917,BCU,1,BCU
455421.88,6782547.0,-5219.8975,-0.067591086,-0.06367102,0.9956794,BCU,1,BCU
451582.97,6782930.5,-5617.874,0.012524919,0.03397763,0.9993441,BCU,1,BCU
455963.0,6782618.0,-5166.078,-0.08923455,-0.0704631,0.9935151,BCU,1,BCU
451819.38,6782676.0,-5615.172,-0.007658713,0.014826658,0.9998607,BCU,1,BCU
453467.3,6782845.0,-5393.49,-0.17767005,0.04609335,0.98301005,BCU,1,BCU
453732.75,6782737.0,-5343.1553,-0.15410492,0.015872844,0.98792696,BCU,1,BCU
455313.3,6782983.0,-5211.3706,-0.07170614,-0.015526952,0.997305,BCU,1,BCU
454486.2,6782890.0,-5250.1934,-0.06133606,-0.011282878,0.9980534,BCU,1,BCU
454685.8,6783124.0,-5240.4565,-0.047770217,0.012983241,0.998774,BCU,1,BCU
451664.66,6783550.0,-5648.939,-0.036723223,0.060083244,0.9975176,BCU,1,BCU
451263.6,6783573.5,-5657.6875,-0.015936974,0.08018219,0.9966528,BCU,1,BCU
453117.94,6783249.0,-5482.841,-0.17773612,0.053486217,0.9826236,BCU,1,BCU
454091.97,6783222.0,-5294.9697,-0.15077569,0.03641249,0.98789716,BCU,1,BCU
452576.88,6783459.0,-5579.65,-0.12996721,0.022108095,0.9912718,BCU,1,BCU
454203.03,6783590.0,-5300.423,-0.13347282,0.06972682,0.98859656,BCU,1,BCU
451703.66,6783978.0,-5662.5615,-0.06764671,0.029333431,0.99727803,BCU,1,BCU
453443.75,6783979.0,-5456.6826,-0.18063636,0.046134952,0.98246735,BCU,1,BCU
452565.3,6783979.5,-5582.091,-0.11402888,-0.020168591,0.9932727,BCU,1,BCU
453803.97,6783978.5,-5394.244,-0.159628,0.07317609,0.98446137,BCU,1,BCU
454309.84,6783979.0,-5324.286,-0.12314489,0.10823468,0.98646873,BCU,1,BCU
455961.53,6783979.5,-5164.224,-0.08620751,0.03570286,0.99563724,BCU,1,BCU
451304.1,6782096.5,-6379.891,-0.44060168,0.041036375,0.8967643,etive,1,etive A
451248.88,6782467.0,-6438.086,-0.44697174,0.09223565,0.8897802,etive,1,etive A
451402.38,6782630.0,-6377.634,-0.4658413,0.077674694,0.88145256,etive,1,etive A
451962.47,6782643.0,-6079.9175,-0.2454243,0.24216837,0.93868065,etive,1,etive A
451575.56,6782945.0,-6326.2354,-0.43453294,0.078571424,0.8972222,etive,1,etive A
451315.3,6783487.0,-6452.1953,-0.41852573,0.015526923,0.90807223,etive,1,etive A
451598.75,6783529.5,-6333.9443,-0.29235345,0.12584847,0.94799346,etive,1,etive A
451471.72,6783620.0,-6394.657,-0.3166603,0.12223359,0.94063026,etive,1,etive A
451373.94,6783926.5,-6606.303,-0.1892258,0.6801444,0.70823526,etive,1,etive A
451701.94,6783891.0,-6405.1094,-0.36178017,0.38065866,0.8510077,etive,1,etive A
453017.72,6782054.5,-6137.425,-0.35755196,0.11487796,0.9268007,etive,1,etive B
454043.5,6782238.0,-5719.077,-0.44977993,-0.0027569444,0.89313513,etive,1,etive B
453906.78,6782100.5,-5804.58,-0.43901828,-0.038688347,0.89764476,etive,1,etive B
454012.47,6782402.0,-5739.2935,-0.44796425,0.004079754,0.89404213,etive,1,etive B
452702.56,6782623.0,-6314.6646,-0.3331748,0.07678611,0.9397332,etive,1,etive B
454244.53,6782580.5,-5606.9307,-0.4898205,-0.06072997,0.86970556,etive,1,etive B
453183.06,6782763.0,-6173.549,-0.31920698,0.13850147,0.9375096,etive,1,etive B
453087.97,6783017.0,-6229.334,-0.30320993,0.111208454,0.9464124,etive,1,etive B
454482.94,6782845.5,-5442.227,-0.51203007,-0.0025273345,0.8589638,etive,1,etive B
453029.56,6783342.0,-6288.9277,-0.30009177,0.038608298,0.9531287,etive,1,etive B
453910.0,6783032.0,-5857.4595,-0.5203451,0.07360095,0.8507784,etive,1,etive B
453435.38,6783079.5,-6105.031,-0.42977834,0.0763588,0.8996999,etive,1,etive B
453952.16,6783174.0,-5829.4556,-0.5176894,0.035689145,0.85482395,etive,1,etive B
453623.1,6783286.0,-6030.849,-0.46543628,0.05905292,0.88310915,etive,1,etive B
453712.16,6783478.5,-5988.9043,-0.48186344,0.046665918,0.8750028,etive,1,etive B
454012.56,6783519.0,-5812.2134,-0.5090927,0.12670575,0.8513344,etive,1,etive B
453406.12,6783963.0,-6179.953,-0.39877743,0.10921543,0.91052103,etive,1,etive B
452678.12,6783584.5,-6359.2188,-0.061835542,-0.05047717,0.9968091,etive,1,etive B
454364.3,6783857.5,-5612.353,-0.58474684,0.08639546,0.8066021,etive,1,etive B
455375.3,6782442.0,-5860.9404,-0.19990267,-0.054326743,0.9783085,etive,1,etive C
455718.88,6782388.0,-5721.2803,-0.4835083,-0.23876178,0.8421476,etive,1,etive C
455828.97,6782207.0,-5791.9053,-0.5062519,-0.37444407,0.776853,etive,1,etive C
455508.44,6782603.0,-5818.3584,-0.3570567,0.022576975,0.9338098,etive,1,etive C
455664.53,6782781.0,-5750.72,-0.42424613,0.09562542,0.9004837,etive,1,etive C
455275.88,6783095.5,-5883.414,-0.16120467,0.01522339,0.9868036,etive,1,etive C
455900.8,6782906.5,-5647.422,-0.43775842,0.10254183,0.8932261,etive,1,etive C
455800.25,6783055.0,-5730.269,-0.46575615,0.052379847,0.8833615,etive,1,etive C
455558.2,6783082.0,-5827.2324,-0.22448556,0.0545368,0.97295016,etive,1,etive C
455929.22,6783205.5,-5670.8384,-0.39668232,0.05985756,0.9160023,etive,1,etive C
455853.16,6782064.0,-5807.736,-0.49096787,-0.20539878,0.8466179,etive,1,etive C
454579.56,6782074.0,-5627.645,0.5062025,-0.28335822,0.8145349,fault3,1,fault3
454338.4,6782244.0,-5376.1533,0.5544006,0.08128753,0.8282706,fault3,1,fault3
454820.88,6782277.0,-5688.905,0.36691332,0.31315067,0.87596303,fault3,1,fault3
454598.1,6782482.0,-5659.863,0.57297957,-0.05731725,0.81756294,fault3,1,fault3
454803.4,6782382.5,-5835.7207,0.2778048,0.12677045,0.9522362,fault3,1,fault3
454746.47,6782549.5,-5675.5166,0.4380298,-0.28271577,0.8533474,fault3,1,fault3
454936.5,6782729.5,-5794.6543,0.59678274,-0.1417331,0.7897861,fault3,1,fault3
454562.5,6783137.0,-5585.762,0.3098132,0.6887807,0.6554364,fault3,1,fault3
454053.7,6783334.0,-5469.032,0.55832535,0.16985701,0.8120476,fault3,1,fault3
454413.97,6783275.0,-5756.4873,0.6251611,0.4778636,0.6171061,fault3,1,fault3
454360.0,6783361.5,-5692.652,0.7190608,0.28293133,0.63474524,fault3,1,fault3
455010.28,6783235.5,-6236.743,0.5661114,0.6854087,0.457966,fault3,1,fault3
455204.8,6783376.0,-6516.244,0.6090897,0.31376618,0.7283959,fault3,1,fault3
454891.4,6783382.5,-6263.77,0.6953312,0.3483006,0.6286503,fault3,1,fault3
454562.84,6783490.0,-6015.3594,0.74322456,-0.13561746,0.6551528,fault3,1,fault3
454834.34,6783582.0,-6161.292,0.6344013,-0.2803394,0.72037816,fault3,1,fault3
454699.7,6783786.5,-5931.901,0.6742407,-0.28700095,0.680463,fault3,1,fault3
454863.75,6783682.0,-6107.508,0.65650964,-0.40249804,0.63795805,fault3,1,fault3
452356.84,6782235.5,-6112.7705,0.6718531,0.22903445,0.7043838,fault4,1,fault4
