X,Y,Z,formation,group
452322.1,6782459.5,-5575.0566,BCU,BCU
452324.94,6782029.5,-5531.4814,BCU,BCU
451775.75,6782029.5,-5586.042,BCU,BCU
451789.38,6782354.5,-5610.9487,BCU,BCU
451267.53,6782028.0,-5613.0938,BCU,BCU
451562.84,6782422.0,-5612.8213,BCU,BCU
451490.28,6782598.0,-5608.139,BCU,BCU
451264.06,6782327.0,-5604.2563,BCU,BCU
453657.88,6782223.0,-5353.1807,BCU,BCU
453910.75,6782029.5,-5338.66,BCU,BCU
453375.84,6782030.5,-5392.196,BCU,BCU
452873.28,6782030.0,-5455.4614,BCU,BCU
452792.5,6782360.5,-5487.791,BCU,BCU
454027.62,6782393.0,-5305.703,BCU,BCU
454491.53,6782272.0,-5273.8228,BCU,BCU
454749.56,6782029.5,-5289.002,BCU,BCU
454367.53,6782029.5,-5304.368,BCU,BCU
454851.22,6782271.0,-5262.92,BCU,BCU
455105.22,6782029.5,-5283.1973,BCU,BCU
455511.4,6782228.5,-5244.6553,BCU,BCU
455955.94,6782029.0,-5244.7974,BCU,BCU
455494.25,6782029.5,-5270.877,BCU,BCU
455767.2,6782308.5,-5215.3633,BCU,BCU
455961.0,6782280.0,-5201.239,BCU,BCU
453414.03,6782385.0,-5386.407,BCU,BCU
455215.62,6782268.0,-5252.574,BCU,BCU
452059.3,6782479.5,-5604.2974,BCU,BCU
455421.88,6782547.0,-5219.8975,BCU,BCU
454482.25,6782530.0,-5258.5186,BCU,BCU
451263.44,6783093.0,-5618.5947,BCU,BCU
451582.97,6782930.5,-5617.874,BCU,BCU
451263.7,6782662.0,-5600.884,BCU,BCU
453154.66,6782661.5,-5438.797,BCU,BCU
455963.0,6782618.0,-5166.078,BCU,BCU
455720.47,6782561.5,-5192.805,BCU,BCU
451916.53,6783114.0,-5623.905,BCU,BCU
451819.38,6782676.0,-5615.172,BCU,BCU
452586.0,6782662.0,-5547.154,BCU,BCU
452812.78,6782725.5,-5506.4336,BCU,BCU
453467.3,6782845.0,-5393.49,BCU,BCU
454932.03,6782648.0,-5239.8413,BCU,BCU
451723.5,6783328.0,-5632.808,BCU,BCU
453732.75,6782737.0,-5343.1553,BCU,BCU
454103.12,6782857.5,-5288.97,BCU,BCU
455716.0,6782873.0,-5179.354,BCU,BCU
455313.3,6782983.0,-5211.3706,BCU,BCU
452922.84,6783028.0,-5505.0923,BCU,BCU
453219.0,6783034.5,-5450.9307,BCU,BCU
454486.2,6782890.0,-5250.1934,BCU,BCU
452237.66,6783003.0,-5609.0786,BCU,BCU
452596.75,6783003.0,-5563.151,BCU,BCU
454685.8,6783124.0,-5240.4565,BCU,BCU
454984.2,6782996.0,-5231.0225,BCU,BCU
455962.88,6783101.0,-5151.1816,BCU,BCU
451664.66,6783550.0,-5648.939,BCU,BCU
451455.56,6783364.0,-5638.0083,BCU,BCU
453735.06,6783328.0,-5366.041,BCU,BCU
451263.6,6783573.5,-5657.6875,BCU,BCU
454350.7,6783209.0,-5262.5454,BCU,BCU
455027.2,6783328.5,-5229.7866,BCU,BCU
453117.94,6783249.0,-5482.841,BCU,BCU
