X,Y,Z,surface,group
455225.319537,6785824.103409,-2029.3920899999998,etive,etive c
455675.319537,6785674.103409,-1930.2009280000002,etive,etive c
455675.319537,6787024.103409,-1940.8963620000002,etive,etive c
455225.319537,6786424.103409,-2041.8266600000002,etive,etive c
455525.319537,6786374.103409,-1974.332275,etive,etive c
455675.319537,6786824.103409,-1945.564575,etive,etive c
455075.319537,6786924.103409,-2067.8989260000003,etive,etive c
455125.319537,6787724.103409,-2021.4698489999998,etive,etive c
455325.319537,6787724.103409,-2002.382813,etive,etive c
455325.319537,6785524.103409,-1990.127563,etive,etive c
456751.465472,6786825.422135,-1890.016479,etive,etive e
456401.465472,6786825.422135,-1941.8692629999998,etive,etive e
456001.465472,6787975.422135,-2045.6652829999998,etive,etive e
456501.465472,6786325.422135,-1937.80481,etive,etive e
457101.465472,6787525.422135,-1834.174805,etive,etive e
456301.465472,6785525.422135,-1921.592896,etive,etive e
456551.465472,6786075.422135,-1935.036255,etive,etive e
456851.465472,6787925.422135,-1929.7323,etive,etive e
456851.465472,6787375.422135,-1885.528687,etive,etive e
456501.465472,6786475.422135,-1929.61145,etive,etive e
458605.025043,6786527.664994,-1854.60498,etive,etive j
458155.025043,6785927.664994,-1830.401611,etive,etive j
458555.025043,6788177.664994,-1925.846436,etive,etive j
458255.025043,6786927.664994,-1852.819702,etive,etive j
458305.025043,6786927.664994,-1854.4090579999997,etive,etive j
458555.025043,6786477.664994,-1867.491455,etive,etive j
458355.025043,6787577.664994,-1884.966675,etive,etive j
457905.025043,6787427.664994,-1934.313843,etive,etive j
458505.025043,6787227.664994,-1853.86145,etive,etive j
458655.025043,6788227.664994,-1918.816528,etive,etive j
455819.83021800005,6786965.989151999,-1976.119873,fault6,fault6
456069.83021800005,6787165.989151999,-2103.80127,fault6,fault6
455719.83021800005,6788215.989151999,-2012.481445,fault6,fault6
455719.83021800005,6786365.989151999,-1810.293945,fault6,fault6
456469.83021800005,6785865.989151999,-2042.86853,fault6,fault6
455969.83021800005,6788115.989151999,-2113.558838,fault6,fault6
456219.83021800005,6785915.989151999,-1896.7641600000002,fault6,fault6
456269.83021800005,6786665.989151999,-2055.591064,fault6,fault6
456069.83021800005,6785965.989151999,-1815.434082,fault6,fault6
455469.83021800005,6787415.989151999,-1801.563477,fault6,fault6
457068.956805,6788222.966691,-1777.12085,fault7,fault7
457518.956805,6786172.966691,-1892.1967769999999,fault7,fault7
457618.956805,6787572.966691,-2025.0225829999997,fault7,fault7
457618.956805,6787972.966691,-2090.817871,fault7,fault7
457818.956805,6787722.966691,-2148.531982,fault7,fault7
457668.956805,6787972.966691,-2100.510254,fault7,fault7
457618.956805,6785672.966691,-1815.90564,fault7,fault7
457918.956805,6786872.966691,-2025.7641600000002,fault7,fault7
457668.956805,6787272.966691,-2013.31311,fault7,fault7
457618.956805,6787172.966691,-2012.898682,fault7,fault7
455507.52736199996,6786405.882706,-1886.6616210000002,ness,ness c
455257.52736199996,6786705.882706,-1949.461548,ness,ness c
455407.52736199996,6786605.882706,-1913.610229,ness,ness c
455357.52736199996,6787105.882706,-1928.6813960000002,ness,ness c
455707.52736199996,6786205.882706,-1866.8735350000002,ness,ness c
455057.52736199996,6788005.882706,-1951.231445,ness,ness c
