X,Y,Z,surface,group
453463.355556,6786429.716996,-1849.1590579999997,BCU,BCU
452663.355556,6780479.716996,-1812.214478,BCU,BCU
455663.355556,6789679.716996,-1916.3031010000002,BCU,BCU
453813.355556,6788279.716996,-1883.3500980000001,BCU,BCU
455413.355556,6789179.716996,-1878.5410160000001,BCU,BCU
454863.355556,6784529.716996,-1780.925903,BCU,BCU
453763.355556,6786279.716996,-1841.0728760000002,BCU,BCU
453513.355556,6787579.716996,-1864.171997,BCU,BCU
453563.355556,6783979.716996,-1824.0141600000002,BCU,BCU
451313.355556,6783429.716996,-1895.554932,BCU,BCU
452763.355556,6781179.716996,-1818.874756,BCU,BCU
453313.355556,6780879.716996,-1829.3574219999998,BCU,BCU
455713.355556,6788429.716996,-1881.3029789999998,BCU,BCU
455613.355556,6785079.716996,-1765.926392,BCU,BCU
453963.355556,6785529.716996,-1823.2003170000003,BCU,BCU
453963.355556,6785579.716996,-1818.2248539999998,BCU,BCU
454563.355556,6785029.716996,-1821.2020260000002,BCU,BCU
453913.355556,6788529.716996,-1883.211182,BCU,BCU
454913.355556,6785729.716996,-1826.757446,BCU,BCU
456263.355556,6781629.716996,-1776.923096,BCU,BCU
452763.355556,6787079.716996,-1893.0048829999998,BCU,BCU
455713.355556,6782079.716996,-1740.6767579999998,BCU,BCU
453663.355556,6788429.716996,-1896.116577,BCU,BCU
452963.355556,6785229.716996,-1872.8144530000002,BCU,BCU
455813.355556,6785229.716996,-1762.549561,BCU,BCU
453963.355556,6788129.716996,-1873.773804,BCU,BCU
451263.355556,6785879.716996,-1920.862549,BCU,BCU
455163.355556,6780979.716996,-1806.4428710000002,BCU,BCU
455663.355556,6783579.716996,-1713.491089,BCU,BCU
454413.355556,6784879.716996,-1817.179077,BCU,BCU
456413.355556,6783929.716996,-1699.2640379999998,BCU,BCU
456363.355556,6782979.716996,-1692.722046,BCU,BCU
451263.355556,6782179.716996,-1879.1033940000002,BCU,BCU
452163.355556,6786879.716996,-1870.09021,BCU,BCU
454513.355556,6780679.716996,-1820.921265,BCU,BCU
453013.355556,6781329.716996,-1780.16394,BCU,BCU
453563.355556,6784179.716996,-1820.414551,BCU,BCU
456213.355556,6789679.716996,-1921.791748,BCU,BCU
455313.355556,6781929.716996,-1759.601929,BCU,BCU
455863.355556,6786979.716996,-1834.35437,BCU,BCU
451363.355556,6783529.716996,-1895.503174,BCU,BCU
454713.355556,6789529.716996,-1913.3063960000002,BCU,BCU
453763.355556,6785929.716996,-1846.40271,BCU,BCU
455913.355556,6781129.716996,-1796.695557,BCU,BCU
453763.355556,6789079.716996,-1895.8337399999998,BCU,BCU
