X,Y,Z,formation,group
455675.319537,6785674.103409,-1930.2009280000002,etive,etive c
455625.319537,6785974.103409,-1944.015869,etive,etive c
455225.319537,6786424.103409,-2041.8266600000002,etive,etive c
455025.319537,6787524.103409,-2027.8071289999998,etive,etive c
455625.319537,6788224.103409,-1990.616455,etive,etive c
455325.319537,6787724.103409,-2002.382813,etive,etive c
455525.319537,6785624.103409,-1959.5340579999997,etive,etive c
455075.319537,6786924.103409,-2067.8989260000003,etive,etive c
455175.319537,6786924.103409,-2046.1859129999998,etive,etive c
455225.319537,6785824.103409,-2029.3920899999998,etive,etive c
455325.319537,6785524.103409,-1990.127563,etive,etive c
455675.319537,6786824.103409,-1945.564575,etive,etive c
455125.319537,6787724.103409,-2021.4698489999998,etive,etive c
455525.319537,6786374.103409,-1974.332275,etive,etive c
455625.319537,6787324.103409,-1936.2854,etive,etive c
455675.319537,6785574.103409,-1920.551025,etive,etive c
455275.319537,6786524.103409,-2030.5576170000002,etive,etive c
455675.319537,6787024.103409,-1940.8963620000002,etive,etive c
455175.319537,6786074.103409,-2050.744141,etive,etive c
455575.319537,6787374.103409,-1945.215454,etive,etive c
456651.465472,6786375.422135,-1913.3691410000001,etive,etive e
456401.465472,6786825.422135,-1941.8692629999998,etive,etive e
456501.465472,6786325.422135,-1937.80481,etive,etive e
456851.465472,6787375.422135,-1885.528687,etive,etive e
456851.465472,6788075.422135,-1900.8964839999999,etive,etive e
456701.465472,6787275.422135,-1898.5999760000002,etive,etive e
456851.465472,6787925.422135,-1929.7323,etive,etive e
456001.465472,6787975.422135,-2045.6652829999998,etive,etive e
456851.465472,6786725.422135,-1867.323853,etive,etive e
456751.465472,6786825.422135,-1890.016479,etive,etive e
456501.465472,6787275.422135,-1946.698486,etive,etive e
456501.465472,6786475.422135,-1929.61145,etive,etive e
456301.465472,6786175.422135,-1953.659668,etive,etive e
456551.465472,6786425.422135,-1926.597656,etive,etive e
457101.465472,6787525.422135,-1834.174805,etive,etive e
456001.465472,6787425.422135,-2014.425903,etive,etive e
456551.465472,6786075.422135,-1935.036255,etive,etive e
456301.465472,6785525.422135,-1921.592896,etive,etive e
456501.465472,6785975.422135,-1934.4774170000003,etive,etive e
